CONCAT,State Name,Year,index_nsa
Alabama_1995,Alabama_,ama_1995,707.99
Alabama_1996,Alabama_,ama_1996,736.59
Alabama_1997,Alabama_,ama_1997,764.23
Alabama_1998,Alabama_,ama_1998,803.13
Alabama_1999,Alabama_,ama_1999,823.95
Alabama_2000,Alabama_,ama_2000,844.58
Alabama_2001,Alabama_,ama_2001,891.17
Alabama_2002,Alabama_,ama_2002,917.32
Alabama_2003,Alabama_,ama_2003,953.81
Alabama_2004,Alabama_,ama_2004,990.13
Alabama_2005,Alabama_,ama_2005,1059.84
Alabama_2006,Alabama_,ama_2006,1143.85
Alabama_2007,Alabama_,ama_2007,1197.91
Alabama_2008,Alabama_,ama_2008,1211.39
Alabama_2009,Alabama_,ama_2009,1193.91
Alabama_2010,Alabama_,ama_2010,1149.02
Alabama_2011,Alabama_,ama_2011,1110.48
Alabama_2012,Alabama_,ama_2012,1104.45
Alabama_2013,Alabama_,ama_2013,1096.49
Alabama_2014,Alabama_,ama_2014,1109.3
Alabama_2015,Alabama_,ama_2015,1139.91
Alabama_2016,Alabama_,ama_2016,1173.09
Alabama_2017,Alabama_,ama_2017,1208.76
Alabama_2018,Alabama_,ama_2018,1258.42
Alabama_2019,Alabama_,ama_2019,1321.09
Alabama_2020,Alabama_,ama_2020,1397.32
Alabama_2021,Alabama_,ama_2021,1578.8
Alabama_2022,Alabama_,ama_2022,896.3
Arkansas_1975,Arkansas_,nsas_1975,254.72
Arkansas_1976,Arkansas_,nsas_1976,279.24
Arkansas_1977,Arkansas_,nsas_1977,307.28
Arkansas_1978,Arkansas_,nsas_1978,337.21
Arkansas_1979,Arkansas_,nsas_1979,387.7
Arkansas_1980,Arkansas_,nsas_1980,416.93
Arkansas_1981,Arkansas_,nsas_1981,428.38
Arkansas_1982,Arkansas_,nsas_1982,428.2
Arkansas_1983,Arkansas_,nsas_1983,465.88
Arkansas_1984,Arkansas_,nsas_1984,480.03
Arkansas_1985,Arkansas_,nsas_1985,489.27
Arkansas_1986,Arkansas_,nsas_1986,508.82
Arkansas_1987,Arkansas_,nsas_1987,511.52
Arkansas_1988,Arkansas_,nsas_1988,506.8
Arkansas_1989,Arkansas_,nsas_1989,509.06
Arkansas_1990,Arkansas_,nsas_1990,512.66
Arkansas_1991,Arkansas_,nsas_1991,524.63
Arkansas_1992,Arkansas_,nsas_1992,542.16
Arkansas_1993,Arkansas_,nsas_1993,566.64
Arkansas_1994,Arkansas_,nsas_1994,598.92
Arkansas_1995,Arkansas_,nsas_1995,627.38
Arkansas_1996,Arkansas_,nsas_1996,649.26
Arkansas_1997,Arkansas_,nsas_1997,668.84
Arkansas_1998,Arkansas_,nsas_1998,693.57
Arkansas_1999,Arkansas_,nsas_1999,710.68
Arkansas_2000,Arkansas_,nsas_2000,727.37
Arkansas_2001,Arkansas_,nsas_2001,766.29
Arkansas_2002,Arkansas_,nsas_2002,791.58
Arkansas_2003,Arkansas_,nsas_2003,824.29
Arkansas_2004,Arkansas_,nsas_2004,871.95
Arkansas_2005,Arkansas_,nsas_2005,935.98
Arkansas_2006,Arkansas_,nsas_2006,993.02
Arkansas_2007,Arkansas_,nsas_2007,1022.62
Arkansas_2008,Arkansas_,nsas_2008,1019.02
Arkansas_2009,Arkansas_,nsas_2009,1006.23
Arkansas_2010,Arkansas_,nsas_2010,981.27
Arkansas_2011,Arkansas_,nsas_2011,965.17
Arkansas_2012,Arkansas_,nsas_2012,970
Arkansas_2013,Arkansas_,nsas_2013,983.85
Arkansas_2014,Arkansas_,nsas_2014,997.09
Arkansas_2015,Arkansas_,nsas_2015,1021.8
Arkansas_2016,Arkansas_,nsas_2016,1048.73
Arkansas_2017,Arkansas_,nsas_2017,1086.52
Arkansas_2018,Arkansas_,nsas_2018,1126.42
Arkansas_2019,Arkansas_,nsas_2019,1169.23
Arkansas_2020,Arkansas_,nsas_2020,1217.72
Arkansas_2021,Arkansas_,nsas_2021,1375.01
Arkansas_2022,Arkansas_,nsas_2022,783.64
Arizona_1975,Arizona_,ona_1975,236.36
Arizona_1976,Arizona_,ona_1976,245.1
Arizona_1977,Arizona_,ona_1977,264.07
Arizona_1978,Arizona_,ona_1978,307.6
Arizona_1979,Arizona_,ona_1979,374.41
Arizona_1980,Arizona_,ona_1980,413.51
Arizona_1981,Arizona_,ona_1981,447.01
Arizona_1982,Arizona_,ona_1982,425.11
Arizona_1983,Arizona_,ona_1983,466.62
Arizona_1984,Arizona_,ona_1984,485.04
Arizona_1985,Arizona_,ona_1985,507.12
Arizona_1986,Arizona_,ona_1986,535.53
Arizona_1987,Arizona_,ona_1987,544.02
Arizona_1988,Arizona_,ona_1988,539.98
Arizona_1989,Arizona_,ona_1989,534.77
Arizona_1990,Arizona_,ona_1990,533.83
Arizona_1991,Arizona_,ona_1991,545.3
Arizona_1992,Arizona_,ona_1992,561.69
Arizona_1993,Arizona_,ona_1993,575.66
Arizona_1994,Arizona_,ona_1994,605.3
Arizona_1995,Arizona_,ona_1995,640.88
Arizona_1996,Arizona_,ona_1996,671.94
Arizona_1997,Arizona_,ona_1997,698.48
Arizona_1998,Arizona_,ona_1998,735.09
Arizona_1999,Arizona_,ona_1999,769.86
Arizona_2000,Arizona_,ona_2000,816.12
Arizona_2001,Arizona_,ona_2001,869.96
Arizona_2002,Arizona_,ona_2002,917.3
Arizona_2003,Arizona_,ona_2003,970.15
Arizona_2004,Arizona_,ona_2004,1091.76
Arizona_2005,Arizona_,ona_2005,1416.44
Arizona_2006,Arizona_,ona_2006,1679.71
Arizona_2007,Arizona_,ona_2007,1662.95
Arizona_2008,Arizona_,ona_2008,1432.38
Arizona_2009,Arizona_,ona_2009,1204.9
Arizona_2010,Arizona_,ona_2010,1056.69
Arizona_2011,Arizona_,ona_2011,942.18
Arizona_2012,Arizona_,ona_2012,981.22
Arizona_2013,Arizona_,ona_2013,1111.1
Arizona_2014,Arizona_,ona_2014,1212.36
Arizona_2015,Arizona_,ona_2015,1286.95
Arizona_2016,Arizona_,ona_2016,1373.79
Arizona_2017,Arizona_,ona_2017,1477.16
Arizona_2018,Arizona_,ona_2018,1593.68
Arizona_2019,Arizona_,ona_2019,1699.69
Arizona_2020,Arizona_,ona_2020,1839.22
Arizona_2021,Arizona_,ona_2021,2242.63
Arizona_2022,Arizona_,ona_2022,1341.09
California_1975,California_,fornia_1975,174.51
California_1976,California_,fornia_1976,207.21
California_1977,California_,fornia_1977,259.66
California_1978,California_,fornia_1978,309.62
California_1979,California_,fornia_1979,362.98
California_1980,California_,fornia_1980,417.8
California_1981,California_,fornia_1981,457.21
California_1982,California_,fornia_1982,432.43
California_1983,California_,fornia_1983,469.17
California_1984,California_,fornia_1984,484.14
California_1985,California_,fornia_1985,510.65
California_1986,California_,fornia_1986,546.02
California_1987,California_,fornia_1987,603.33
California_1988,California_,fornia_1988,698.24
California_1989,California_,fornia_1989,845.05
California_1990,California_,fornia_1990,914.68
California_1991,California_,fornia_1991,911.73
California_1992,California_,fornia_1992,900.45
California_1993,California_,fornia_1993,866.5
California_1994,California_,fornia_1994,824.21
California_1995,California_,fornia_1995,808.99
California_1996,California_,fornia_1996,807.02
California_1997,California_,fornia_1997,828.47
California_1998,California_,fornia_1998,898.41
California_1999,California_,fornia_1999,970.27
California_2000,California_,fornia_2000,1092.01
California_2001,California_,fornia_2001,1231.38
California_2002,California_,fornia_2002,1368.91
California_2003,California_,fornia_2003,1539.8
California_2004,California_,fornia_2004,1890.05
California_2005,California_,fornia_2005,2334.58
California_2006,California_,fornia_2006,2573.32
California_2007,California_,fornia_2007,2434.08
California_2008,California_,fornia_2008,1948.09
California_2009,California_,fornia_2009,1686.34
California_2010,California_,fornia_2010,1635.79
California_2011,California_,fornia_2011,1550.66
California_2012,California_,fornia_2012,1554.96
California_2013,California_,fornia_2013,1745.26
California_2014,California_,fornia_2014,1953.41
California_2015,California_,fornia_2015,2091.98
California_2016,California_,fornia_2016,2239.9
California_2017,California_,fornia_2017,2386.5
California_2018,California_,fornia_2018,2541.3
California_2019,California_,fornia_2019,2623.09
California_2020,California_,fornia_2020,2734.2
California_2021,California_,fornia_2021,3117.97
California_2022,California_,fornia_2022,1793.22
Colorado_1975,Colorado_,rado_1975,218.79
Colorado_1976,Colorado_,rado_1976,236.71
Colorado_1977,Colorado_,rado_1977,272.53
Colorado_1978,Colorado_,rado_1978,327.48
Colorado_1979,Colorado_,rado_1979,383.12
Colorado_1980,Colorado_,rado_1980,416.07
Colorado_1981,Colorado_,rado_1981,440.04
Colorado_1982,Colorado_,rado_1982,489.47
Colorado_1983,Colorado_,rado_1983,499.81
Colorado_1984,Colorado_,rado_1984,500.96
Colorado_1985,Colorado_,rado_1985,502.7
Colorado_1986,Colorado_,rado_1986,515.04
Colorado_1987,Colorado_,rado_1987,507.87
Colorado_1988,Colorado_,rado_1988,497.94
Colorado_1989,Colorado_,rado_1989,501.24
Colorado_1990,Colorado_,rado_1990,513.59
Colorado_1991,Colorado_,rado_1991,532.88
Colorado_1992,Colorado_,rado_1992,569.38
Colorado_1993,Colorado_,rado_1993,621.01
Colorado_1994,Colorado_,rado_1994,696.89
Colorado_1995,Colorado_,rado_1995,752.01
Colorado_1996,Colorado_,rado_1996,795.89
Colorado_1997,Colorado_,rado_1997,837.5
Colorado_1998,Colorado_,rado_1998,887.32
Colorado_1999,Colorado_,rado_1999,964.94
Colorado_2000,Colorado_,rado_2000,1077.45
Colorado_2001,Colorado_,rado_2001,1178.05
Colorado_2002,Colorado_,rado_2002,1236.66
Colorado_2003,Colorado_,rado_2003,1268.61
Colorado_2004,Colorado_,rado_2004,1313.07
Colorado_2005,Colorado_,rado_2005,1377.26
Colorado_2006,Colorado_,rado_2006,1419.19
Colorado_2007,Colorado_,rado_2007,1436.78
Colorado_2008,Colorado_,rado_2008,1423.9
Colorado_2009,Colorado_,rado_2009,1401.71
Colorado_2010,Colorado_,rado_2010,1356
Colorado_2011,Colorado_,rado_2011,1313.75
Colorado_2012,Colorado_,rado_2012,1332.71
Colorado_2013,Colorado_,rado_2013,1411.14
Colorado_2014,Colorado_,rado_2014,1524.82
Colorado_2015,Colorado_,rado_2015,1687.35
Colorado_2016,Colorado_,rado_2016,1862.2
Colorado_2017,Colorado_,rado_2017,2030.83
Colorado_2018,Colorado_,rado_2018,2200.63
Colorado_2019,Colorado_,rado_2019,2308.85
Colorado_2020,Colorado_,rado_2020,2420.5
Colorado_2021,Colorado_,rado_2021,2790.01
Colorado_2022,Colorado_,rado_2022,1613.4
Connecticut_1975,Connecticut_,ecticut_1975,248.76
Connecticut_1976,Connecticut_,ecticut_1976,263.98
Connecticut_1977,Connecticut_,ecticut_1977,276.31
Connecticut_1978,Connecticut_,ecticut_1978,328.5
Connecticut_1979,Connecticut_,ecticut_1979,395.06
Connecticut_1980,Connecticut_,ecticut_1980,410.21
Connecticut_1981,Connecticut_,ecticut_1981,439.87
Connecticut_1982,Connecticut_,ecticut_1982,448.03
Connecticut_1983,Connecticut_,ecticut_1983,488.45
Connecticut_1984,Connecticut_,ecticut_1984,547.68
Connecticut_1985,Connecticut_,ecticut_1985,632.62
Connecticut_1986,Connecticut_,ecticut_1986,771.78
Connecticut_1987,Connecticut_,ecticut_1987,969.79
Connecticut_1988,Connecticut_,ecticut_1988,1062.88
Connecticut_1989,Connecticut_,ecticut_1989,1046.72
Connecticut_1990,Connecticut_,ecticut_1990,994.22
Connecticut_1991,Connecticut_,ecticut_1991,946.18
Connecticut_1992,Connecticut_,ecticut_1992,935.76
Connecticut_1993,Connecticut_,ecticut_1993,920.12
Connecticut_1994,Connecticut_,ecticut_1994,890.62
Connecticut_1995,Connecticut_,ecticut_1995,885.71
Connecticut_1996,Connecticut_,ecticut_1996,897.88
Connecticut_1997,Connecticut_,ecticut_1997,908.4
Connecticut_1998,Connecticut_,ecticut_1998,953.87
Connecticut_1999,Connecticut_,ecticut_1999,1005.01
Connecticut_2000,Connecticut_,ecticut_2000,1082.55
Connecticut_2001,Connecticut_,ecticut_2001,1177.93
Connecticut_2002,Connecticut_,ecticut_2002,1290.79
Connecticut_2003,Connecticut_,ecticut_2003,1400.68
Connecticut_2004,Connecticut_,ecticut_2004,1569.67
Connecticut_2005,Connecticut_,ecticut_2005,1761.18
Connecticut_2006,Connecticut_,ecticut_2006,1860.92
Connecticut_2007,Connecticut_,ecticut_2007,1865.32
Connecticut_2008,Connecticut_,ecticut_2008,1785.71
Connecticut_2009,Connecticut_,ecticut_2009,1684.39
Connecticut_2010,Connecticut_,ecticut_2010,1621.84
Connecticut_2011,Connecticut_,ecticut_2011,1570.01
Connecticut_2012,Connecticut_,ecticut_2012,1539.4
Connecticut_2013,Connecticut_,ecticut_2013,1524.9
Connecticut_2014,Connecticut_,ecticut_2014,1521.88
Connecticut_2015,Connecticut_,ecticut_2015,1546.96
Connecticut_2016,Connecticut_,ecticut_2016,1555.64
Connecticut_2017,Connecticut_,ecticut_2017,1564.34
Connecticut_2018,Connecticut_,ecticut_2018,1581.82
Connecticut_2019,Connecticut_,ecticut_2019,1625.21
Connecticut_2020,Connecticut_,ecticut_2020,1697.33
Connecticut_2021,Connecticut_,ecticut_2021,1932.63
Connecticut_2022,Connecticut_,ecticut_2022,1078.92
District of Columbia_1975,District of Columbia_,rict of Columbia_1975,196.04
District of Columbia_1976,District of Columbia_,rict of Columbia_1976,222.94
District of Columbia_1977,District of Columbia_,rict of Columbia_1977,262.61
District of Columbia_1978,District of Columbia_,rict of Columbia_1978,309.33
District of Columbia_1979,District of Columbia_,rict of Columbia_1979,369.65
District of Columbia_1980,District of Columbia_,rict of Columbia_1980,397
District of Columbia_1981,District of Columbia_,rict of Columbia_1981,397.51
District of Columbia_1982,District of Columbia_,rict of Columbia_1982,364.87
District of Columbia_1983,District of Columbia_,rict of Columbia_1983,396.7
District of Columbia_1984,District of Columbia_,rict of Columbia_1984,422.31
District of Columbia_1985,District of Columbia_,rict of Columbia_1985,447.23
District of Columbia_1986,District of Columbia_,rict of Columbia_1986,487.19
District of Columbia_1987,District of Columbia_,rict of Columbia_1987,558.69
District of Columbia_1988,District of Columbia_,rict of Columbia_1988,655.7
District of Columbia_1989,District of Columbia_,rict of Columbia_1989,735.94
District of Columbia_1990,District of Columbia_,rict of Columbia_1990,765.16
District of Columbia_1991,District of Columbia_,rict of Columbia_1991,769.53
District of Columbia_1992,District of Columbia_,rict of Columbia_1992,786.76
District of Columbia_1993,District of Columbia_,rict of Columbia_1993,781.02
District of Columbia_1994,District of Columbia_,rict of Columbia_1994,760.48
District of Columbia_1995,District of Columbia_,rict of Columbia_1995,752.98
District of Columbia_1996,District of Columbia_,rict of Columbia_1996,767.16
District of Columbia_1997,District of Columbia_,rict of Columbia_1997,765.19
District of Columbia_1998,District of Columbia_,rict of Columbia_1998,806.52
District of Columbia_1999,District of Columbia_,rict of Columbia_1999,868.71
District of Columbia_2000,District of Columbia_,rict of Columbia_2000,990.4
District of Columbia_2001,District of Columbia_,rict of Columbia_2001,1140.94
District of Columbia_2002,District of Columbia_,rict of Columbia_2002,1314.86
District of Columbia_2003,District of Columbia_,rict of Columbia_2003,1480.54
District of Columbia_2004,District of Columbia_,rict of Columbia_2004,1775.86
District of Columbia_2005,District of Columbia_,rict of Columbia_2005,2197.88
District of Columbia_2006,District of Columbia_,rict of Columbia_2006,2458.06
District of Columbia_2007,District of Columbia_,rict of Columbia_2007,2525.65
District of Columbia_2008,District of Columbia_,rict of Columbia_2008,2374.9
District of Columbia_2009,District of Columbia_,rict of Columbia_2009,2266.49
District of Columbia_2010,District of Columbia_,rict of Columbia_2010,2261
District of Columbia_2011,District of Columbia_,rict of Columbia_2011,2284.79
District of Columbia_2012,District of Columbia_,rict of Columbia_2012,2374.83
District of Columbia_2013,District of Columbia_,rict of Columbia_2013,2571.02
District of Columbia_2014,District of Columbia_,rict of Columbia_2014,2776.72
District of Columbia_2015,District of Columbia_,rict of Columbia_2015,2962.87
District of Columbia_2016,District of Columbia_,rict of Columbia_2016,3153.68
District of Columbia_2017,District of Columbia_,rict of Columbia_2017,3300.04
District of Columbia_2018,District of Columbia_,rict of Columbia_2018,3461.26
District of Columbia_2019,District of Columbia_,rict of Columbia_2019,3591.83
District of Columbia_2020,District of Columbia_,rict of Columbia_2020,3721.64
District of Columbia_2021,District of Columbia_,rict of Columbia_2021,4026.02
District of Columbia_2022,District of Columbia_,rict of Columbia_2022,2175.34
Delaware_1975,Delaware_,ware_1975,354.67
Delaware_1976,Delaware_,ware_1976,331.73
Delaware_1977,Delaware_,ware_1977,332.21
Delaware_1978,Delaware_,ware_1978,344.03
Delaware_1979,Delaware_,ware_1979,365
Delaware_1980,Delaware_,ware_1980,423.71
Delaware_1981,Delaware_,ware_1981,437.33
Delaware_1982,Delaware_,ware_1982,445.01
Delaware_1983,Delaware_,ware_1983,485.99
Delaware_1984,Delaware_,ware_1984,519.67
Delaware_1985,Delaware_,ware_1985,566.81
Delaware_1986,Delaware_,ware_1986,629.77
Delaware_1987,Delaware_,ware_1987,716.38
Delaware_1988,Delaware_,ware_1988,793.41
Delaware_1989,Delaware_,ware_1989,870.49
Delaware_1990,Delaware_,ware_1990,899.37
Delaware_1991,Delaware_,ware_1991,914.18
Delaware_1992,Delaware_,ware_1992,924
Delaware_1993,Delaware_,ware_1993,928.22
Delaware_1994,Delaware_,ware_1994,913.02
Delaware_1995,Delaware_,ware_1995,915.41
Delaware_1996,Delaware_,ware_1996,931.36
Delaware_1997,Delaware_,ware_1997,943.3
Delaware_1998,Delaware_,ware_1998,974.47
Delaware_1999,Delaware_,ware_1999,1012.16
Delaware_2000,Delaware_,ware_2000,1070
Delaware_2001,Delaware_,ware_2001,1148.33
Delaware_2002,Delaware_,ware_2002,1240.41
Delaware_2003,Delaware_,ware_2003,1346.52
Delaware_2004,Delaware_,ware_2004,1531.83
Delaware_2005,Delaware_,ware_2005,1766.78
Delaware_2006,Delaware_,ware_2006,1935.1
Delaware_2007,Delaware_,ware_2007,1983.03
Delaware_2008,Delaware_,ware_2008,1917.44
Delaware_2009,Delaware_,ware_2009,1813.86
Delaware_2010,Delaware_,ware_2010,1736.9
Delaware_2011,Delaware_,ware_2011,1640.32
Delaware_2012,Delaware_,ware_2012,1606.16
Delaware_2013,Delaware_,ware_2013,1619.54
Delaware_2014,Delaware_,ware_2014,1647.45
Delaware_2015,Delaware_,ware_2015,1688.96
Delaware_2016,Delaware_,ware_2016,1727.15
Delaware_2017,Delaware_,ware_2017,1759.36
Delaware_2018,Delaware_,ware_2018,1817.67
Delaware_2019,Delaware_,ware_2019,1884.15
Delaware_2020,Delaware_,ware_2020,1974.95
Delaware_2021,Delaware_,ware_2021,2221.87
Delaware_2022,Delaware_,ware_2022,1248.27
Florida_1975,Florida_,ida_1975,284.44
Florida_1976,Florida_,ida_1976,283.26
Florida_1977,Florida_,ida_1977,297.54
Florida_1978,Florida_,ida_1978,329.48
Florida_1979,Florida_,ida_1979,374.01
Florida_1980,Florida_,ida_1980,414.32
Florida_1981,Florida_,ida_1981,435.11
Florida_1982,Florida_,ida_1982,444.81
Florida_1983,Florida_,ida_1983,493.87
Florida_1984,Florida_,ida_1984,507
Florida_1985,Florida_,ida_1985,514.03
Florida_1986,Florida_,ida_1986,537.33
Florida_1987,Florida_,ida_1987,553.76
Florida_1988,Florida_,ida_1988,577.46
Florida_1989,Florida_,ida_1989,599.85
Florida_1990,Florida_,ida_1990,611.82
Florida_1991,Florida_,ida_1991,621.93
Florida_1992,Florida_,ida_1992,638.55
Florida_1993,Florida_,ida_1993,653.02
Florida_1994,Florida_,ida_1994,658.48
Florida_1995,Florida_,ida_1995,674.47
Florida_1996,Florida_,ida_1996,693.26
Florida_1997,Florida_,ida_1997,711.53
Florida_1998,Florida_,ida_1998,746.27
Florida_1999,Florida_,ida_1999,774.86
Florida_2000,Florida_,ida_2000,827.29
Florida_2001,Florida_,ida_2001,909.62
Florida_2002,Florida_,ida_2002,1002.55
Florida_2003,Florida_,ida_2003,1108.64
Florida_2004,Florida_,ida_2004,1299.65
Florida_2005,Florida_,ida_2005,1633.97
Florida_2006,Florida_,ida_2006,1892.81
Florida_2007,Florida_,ida_2007,1843.74
Florida_2008,Florida_,ida_2008,1528.25
Florida_2009,Florida_,ida_2009,1302.13
Florida_2010,Florida_,ida_2010,1175.61
Florida_2011,Florida_,ida_2011,1085.9
Florida_2012,Florida_,ida_2012,1079.36
Florida_2013,Florida_,ida_2013,1166.71
Florida_2014,Florida_,ida_2014,1275.37
Florida_2015,Florida_,ida_2015,1393.16
Florida_2016,Florida_,ida_2016,1520.92
Florida_2017,Florida_,ida_2017,1650.99
Florida_2018,Florida_,ida_2018,1776.91
Florida_2019,Florida_,ida_2019,1877.65
Florida_2020,Florida_,ida_2020,1994.84
Florida_2021,Florida_,ida_2021,2347.18
Florida_2022,Florida_,ida_2022,1411.78
Georgia_1975,Georgia_,gia_1975,293.82
Georgia_1976,Georgia_,gia_1976,301.82
Georgia_1977,Georgia_,gia_1977,310.42
Georgia_1978,Georgia_,gia_1978,337.58
Georgia_1979,Georgia_,gia_1979,366.93
Georgia_1980,Georgia_,gia_1980,405.44
Georgia_1981,Georgia_,gia_1981,436.67
Georgia_1982,Georgia_,gia_1982,459.96
Georgia_1983,Georgia_,gia_1983,478.12
Georgia_1984,Georgia_,gia_1984,504.61
Georgia_1985,Georgia_,gia_1985,533.56
Georgia_1986,Georgia_,gia_1986,571.83
Georgia_1987,Georgia_,gia_1987,603.02
Georgia_1988,Georgia_,gia_1988,624.93
Georgia_1989,Georgia_,gia_1989,638.02
Georgia_1990,Georgia_,gia_1990,640.48
Georgia_1991,Georgia_,gia_1991,647.35
Georgia_1992,Georgia_,gia_1992,664.19
Georgia_1993,Georgia_,gia_1993,682.58
Georgia_1994,Georgia_,gia_1994,698
Georgia_1995,Georgia_,gia_1995,723.85
Georgia_1996,Georgia_,gia_1996,756.74
Georgia_1997,Georgia_,gia_1997,790.19
Georgia_1998,Georgia_,gia_1998,838.15
Georgia_1999,Georgia_,gia_1999,888.74
Georgia_2000,Georgia_,gia_2000,942.43
Georgia_2001,Georgia_,gia_2001,1011.34
Georgia_2002,Georgia_,gia_2002,1057.08
Georgia_2003,Georgia_,gia_2003,1097.52
Georgia_2004,Georgia_,gia_2004,1146.66
Georgia_2005,Georgia_,gia_2005,1211.03
Georgia_2006,Georgia_,gia_2006,1266.53
Georgia_2007,Georgia_,gia_2007,1302.98
Georgia_2008,Georgia_,gia_2008,1273.76
Georgia_2009,Georgia_,gia_2009,1215.69
Georgia_2010,Georgia_,gia_2010,1128.73
Georgia_2011,Georgia_,gia_2011,1043.81
Georgia_2012,Georgia_,gia_2012,1002.88
Georgia_2013,Georgia_,gia_2013,1043.35
Georgia_2014,Georgia_,gia_2014,1114.08
Georgia_2015,Georgia_,gia_2015,1184.47
Georgia_2016,Georgia_,gia_2016,1257.31
Georgia_2017,Georgia_,gia_2017,1333.24
Georgia_2018,Georgia_,gia_2018,1431.44
Georgia_2019,Georgia_,gia_2019,1516.12
Georgia_2020,Georgia_,gia_2020,1604.7
Georgia_2021,Georgia_,gia_2021,1850.61
Georgia_2022,Georgia_,gia_2022,1088.6
Hawaii_1975,Hawaii_,ii_1975,233.9
Hawaii_1976,Hawaii_,ii_1976,222.4
Hawaii_1977,Hawaii_,ii_1977,239.19
Hawaii_1978,Hawaii_,ii_1978,273.36
Hawaii_1979,Hawaii_,ii_1979,338.86
Hawaii_1980,Hawaii_,ii_1980,410.82
Hawaii_1981,Hawaii_,ii_1981,336.41
Hawaii_1982,Hawaii_,ii_1982,402.47
Hawaii_1983,Hawaii_,ii_1983,427.39
Hawaii_1984,Hawaii_,ii_1984,441.39
Hawaii_1985,Hawaii_,ii_1985,462.74
Hawaii_1986,Hawaii_,ii_1986,484.98
Hawaii_1987,Hawaii_,ii_1987,528.17
Hawaii_1988,Hawaii_,ii_1988,618.76
Hawaii_1989,Hawaii_,ii_1989,762.51
Hawaii_1990,Hawaii_,ii_1990,944.05
Hawaii_1991,Hawaii_,ii_1991,1041.8
Hawaii_1992,Hawaii_,ii_1992,1056.23
Hawaii_1993,Hawaii_,ii_1993,1062.49
Hawaii_1994,Hawaii_,ii_1994,1056.1
Hawaii_1995,Hawaii_,ii_1995,1042.65
Hawaii_1996,Hawaii_,ii_1996,991.65
Hawaii_1997,Hawaii_,ii_1997,927.87
Hawaii_1998,Hawaii_,ii_1998,925.42
